message,label
Reminder about the project planning meeting,0
Hi finance team please urgently wire 22317 to the vendor account today,1
Confidential request: wire 32008 to the supplier today,1
This is the CEO. Process a transfer of 40276 immediately,1
This is the CEO. Process a transfer of 39878 immediately,1
Confidential request: wire 16067 to the supplier today,1
I need an urgent payment of 43956 sent today,1
Please transfer 6398 to the updated vendor account,1
Please schedule the team meeting for tomorrow,0
Please review the attached document,0
Kindly wire 12152 immediately I am currently in a meeting,1
Reminder about the project planning meeting,0
Let's discuss the budget updates in today's meeting,0
Please schedule the team meeting for tomorrow,0
Please transfer 12756 to the updated vendor account,1
This is the CEO. Process a transfer of 31236 immediately,1
Reminder to review the quarterly financial report,0
Let's discuss the budget updates in today's meeting,0
Hi finance team please urgently wire 13757 to the vendor account today,1
Kindly wire 30227 immediately I am currently in a meeting,1
Please update vendor bank details and send 23605,1
Kindly wire 9491 immediately I am currently in a meeting,1
Team lunch scheduled for Friday afternoon,0
Reminder about the project planning meeting,0
Reminder about the project planning meeting,0
Hi finance team please urgently wire 47340 to the vendor account today,1
Please review the attached document,0
This is the CEO. Process a transfer of 4562 immediately,1
Please transfer 16409 to the updated vendor account,1
I need an urgent payment of 27055 sent today,1
Confidential request: wire 5218 to the supplier today,1
Please transfer 32903 to the updated vendor account,1
Hi finance team please urgently wire 12712 to the vendor account today,1
Team lunch scheduled for Friday afternoon,0
Reminder to review the quarterly financial report,0
Please review the attached document,0
Kindly wire 28574 immediately I am currently in a meeting,1
Kindly wire 25372 immediately I am currently in a meeting,1
Reminder to review the quarterly financial report,0
Please confirm receipt of this message,0
Hi finance team please urgently wire 17815 to the vendor account today,1
Confidential request: wire 13979 to the supplier today,1
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Please transfer 48814 to the updated vendor account,1
Team lunch scheduled for Friday afternoon,0
Please confirm receipt of this message,0
Confidential request: wire 21124 to the supplier today,1
Let's discuss the budget updates in today's meeting,0
Kindly wire 18199 immediately I am currently in a meeting,1
Please update vendor bank details and send 3729,1
Please transfer 11239 to the updated vendor account,1
I need an urgent payment of 40033 sent today,1
Confidential request: wire 3037 to the supplier today,1
I need an urgent payment of 12818 sent today,1
Team lunch scheduled for Friday afternoon,0
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Kindly wire 3806 immediately I am currently in a meeting,1
Please update vendor bank details and send 15382,1
This is the CEO. Process a transfer of 14349 immediately,1
This is the CEO. Process a transfer of 20437 immediately,1
Please update vendor bank details and send 19571,1
Hi finance team please urgently wire 33746 to the vendor account today,1
I need an urgent payment of 7233 sent today,1
Please review the attached document,0
Invoice attached for last month's services,0
Invoice attached for last month's services,0
Transfer 11333 ASAP and confirm once completed,1
Hi finance team please urgently wire 35047 to the vendor account today,1
Team lunch scheduled for Friday afternoon,0
Please update vendor bank details and send 16235,1
Reminder about the project planning meeting,0
I need an urgent payment of 33817 sent today,1
Please confirm receipt of this message,0
Reminder to review the quarterly financial report,0
This is the CEO. Process a transfer of 30794 immediately,1
Invoice attached for last month's services,0
Please update vendor bank details and send 2605,1
This is the CEO. Process a transfer of 30757 immediately,1
Please confirm receipt of this message,0
Transfer 41175 ASAP and confirm once completed,1
This is the CEO. Process a transfer of 21984 immediately,1
Please review the attached document,0
I need an urgent payment of 38896 sent today,1
Please review the attached document,0
Please confirm receipt of this message,0
Let's discuss the budget updates in today's meeting,0
I need an urgent payment of 44947 sent today,1
Please confirm receipt of this message,0
I need an urgent payment of 31067 sent today,1
I need an urgent payment of 24626 sent today,1
This is the CEO. Process a transfer of 20663 immediately,1
Please review the attached document,0
Please schedule the team meeting for tomorrow,0
Team lunch scheduled for Friday afternoon,0
Please review the attached document,0
Please schedule the team meeting for tomorrow,0
Team lunch scheduled for Friday afternoon,0
Kindly wire 16392 immediately I am currently in a meeting,1
Transfer 17466 ASAP and confirm once completed,1
I need an urgent payment of 41373 sent today,1
Kindly wire 16658 immediately I am currently in a meeting,1
Confidential request: wire 40167 to the supplier today,1
I need an urgent payment of 22299 sent today,1
Kindly wire 6935 immediately I am currently in a meeting,1
This is the CEO. Process a transfer of 35092 immediately,1
Reminder about the project planning meeting,0
Confidential request: wire 26644 to the supplier today,1
Let's discuss the budget updates in today's meeting,0
Reminder to review the quarterly financial report,0
Transfer 43534 ASAP and confirm once completed,1
Invoice attached for last month's services,0
Please confirm receipt of this message,0
Transfer 30876 ASAP and confirm once completed,1
Please schedule the team meeting for tomorrow,0
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Please transfer 32949 to the updated vendor account,1
Kindly wire 6168 immediately I am currently in a meeting,1
Team lunch scheduled for Friday afternoon,0
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Please transfer 6787 to the updated vendor account,1
Please transfer 29184 to the updated vendor account,1
Please confirm receipt of this message,0
This is the CEO. Process a transfer of 35645 immediately,1
This is the CEO. Process a transfer of 27239 immediately,1
Let's discuss the budget updates in today's meeting,0
This is the CEO. Process a transfer of 41695 immediately,1
Please confirm receipt of this message,0
Let's discuss the budget updates in today's meeting,0
Please transfer 42589 to the updated vendor account,1
I need an urgent payment of 38570 sent today,1
Please schedule the team meeting for tomorrow,0
Reminder about the project planning meeting,0
Please review the attached document,0
Invoice attached for last month's services,0
Please confirm receipt of this message,0
Please update vendor bank details and send 36796,1
Transfer 9269 ASAP and confirm once completed,1
Transfer 35483 ASAP and confirm once completed,1
This is the CEO. Process a transfer of 21961 immediately,1
Kindly wire 28455 immediately I am currently in a meeting,1
Kindly wire 5247 immediately I am currently in a meeting,1
This is the CEO. Process a transfer of 13647 immediately,1
Team lunch scheduled for Friday afternoon,0
Hi finance team please urgently wire 5661 to the vendor account today,1
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Kindly wire 20866 immediately I am currently in a meeting,1
Kindly wire 42441 immediately I am currently in a meeting,1
Please schedule the team meeting for tomorrow,0
Team lunch scheduled for Friday afternoon,0
I need an urgent payment of 40878 sent today,1
Please transfer 10966 to the updated vendor account,1
Let's discuss the budget updates in today's meeting,0
Transfer 7955 ASAP and confirm once completed,1
Please confirm receipt of this message,0
Reminder to review the quarterly financial report,0
Team lunch scheduled for Friday afternoon,0
Please update vendor bank details and send 1292,1
I need an urgent payment of 29121 sent today,1
Hi finance team please urgently wire 43301 to the vendor account today,1
Kindly wire 11257 immediately I am currently in a meeting,1
Invoice attached for last month's services,0
